Name,RAJ2000,DEJ2000,Nobs,filename
Cl* NGC 2682 SAND 1001,08 51 08.39,+11 47 12.1,4,S1001
Cl* NGC 2682 SAND 1010,08 51 22.80,+11 48 01.8,16,S1010
Cl* NGC 2682 SAND 1016,08 51 17.10,+11 48 16.2,18,S1016
Cl* NGC 2682 SAND 1054,08 51 17.04,+11 50 46.4,18,S1054
Cl* NGC 2682 SAND 1074,08 51 12.70,+11 52 42.4,13,S1074
Cl* NGC 2682 SAND 1084,08 51 26.18,+11 53 52.0,24,S1084
Cl* NGC 2682 SAND 1230,08 51 43.75,+11 45 14.9,4,S1230
Cl* NGC 2682 SAND 1254,08 51 45.08,+11 47 45.9,18,S1254
Cl* NGC 2682 SAND 1271,08 51 34.28,+11 49 43.9,14,S1271
Cl* NGC 2682 SAND 1279,08 51 28.99,+11 50 33.1,16,S1279
Cl* NGC 2682 SAND 1288,08 51 42.36,+11 51 23.1,12,S1288
Cl* NGC 2682 SAND 1293,08 51 39.39,+11 51 45.7,30,S1293
Cl* NGC 2682 SAND 1305,08 51 35.78,+11 53 34.8,22,S1305
Cl* NGC 2682 SAND 1316,08 51 43.89,+11 56 42.5,21,S1316
Cl* NGC 2682 SAND 1402,08 52 10.97,+11 31 49.2,5,S1402
Cl* NGC 2682 SAND 1479,08 51 59.52,+11 55 04.9,13,S1479
Cl* NGC 2682 SAND 1557,08 52 16.56,+11 19 38.2,39,S1557
Cl* NGC 2682 SAND 1592,08 52 18.57,+11 44 26.4,14,S1592
Cl* NGC 2682 SAND 1607,08 52 21.38,+11 50 41.9,22,S1607
Cl* NGC 2682 SAND 364,08 49 56.82,+11 41 33.0,32,S364
Cl* NGC 2682 SAND 488,08 50 12.30,+11 51 24.5,36,S488
Cl* NGC 2682 SAND 602,08 50 28.33,+11 42 09.8,17,S602
Cl* NGC 2682 SAND 610,08 50 33.92,+11 46 27.3,11,S610
Cl* NGC 2682 SAND 657,08 50 29.88,+12 08 07.1,8,S657
Cl* NGC 2682 SAND 731,08 50 59.73,+11 39 52.5,11,S731
Cl* NGC 2682 SAND 815,08 50 54.40,+11 56 29.1,28,S815
Cl* NGC 2682 SAND 978,08 51 17.49,+11 45 22.7,40,S978
Cl* NGC 2682 SAND 989,08 51 21.57,+11 46 06.2,20,S989
Cl* NGC 2682 YBP 1032,08 51 56.58,+11 47 25.0,6,YBP1032
Cl* NGC 2682 YBP 1036,08 51 24.30,+11 47 28.3,15,YBP1036
Cl* NGC 2682 YBP 1051,08 51 41.50,+11 47 36.2,23,YBP1051
Cl* NGC 2682 YBP 1062,08 51 36.07,+11 47 47.0,22,YBP1062
Cl* NGC 2682 YBP 1067,08 52 03.50,+11 47 48.1,8,YBP1067
Cl* NGC 2682 YBP 1075,08 51 39.05,+11 47 55.4,13,YBP1075
Cl* NGC 2682 YBP 1088,08 51 48.95,+11 48 02.2,8,YBP1088
Cl* NGC 2682 YBP 1090,08 51 28.70,+11 48 02.3,3,YBP1090
Cl* NGC 2682 YBP 1101,08 52 08.44,+11 48 10.6,5,YBP1101
Cl* NGC 2682 YBP 1129,08 51 32.57,+11 48 24.1,5,YBP1129
Cl* NGC 2682 YBP 1137,08 51 12.03,+11 48 26.7,13,YBP1137
Cl* NGC 2682 YBP 1194,08 51 00.81,+11 48 52.8,29,YBP1194
Cl* NGC 2682 YBP 1197,08 51 30.60,+11 48 55.0,10,YBP1197
Cl* NGC 2682 YBP 1247,08 51 15.05,+11 49 21.2,6,YBP1247
Cl* NGC 2682 YBP 1303,08 50 56.67,+11 49 54.6,5,YBP1303
Cl* NGC 2682 YBP 1304,08 51 26.04,+11 49 55.5,4,YBP1304
Cl* NGC 2682 YBP 1315,08 51 58.77,+11 50 02.5,13,YBP1315
Cl* NGC 2682 YBP 1334,08 51 27.94,+11 50 11.9,7,YBP1334
Cl* NGC 2682 YBP 1387,08 51 29.96,+11 51 09.1,6,YBP1387
Cl* NGC 2682 YBP 1392,08 50 59.81,+11 51 12.6,9,YBP1392
